,date,xauusd
399,2015-02-04,1269.2456591604
400,2015-02-05,1264.393561708
401,2015-02-06,1234.0319735409
402,2015-02-07,1234.4383614065
403,2015-02-08,1234.5374188292
404,2015-02-09,1239.0457495475
405,2015-02-10,1233.3933181548
406,2015-02-11,1218.005326116
407,2015-02-12,1220.5706707898
408,2015-02-13,1228.9454706457
409,2015-02-14,1228.8182454933
410,2015-02-15,1228.3805031447
411,2015-02-16,1231.2937243668
412,2015-02-17,1209.1021892867
413,2015-02-18,1213.1714250423
414,2015-02-19,1204.8211665849
415,2015-02-20,1201.9235332984
416,2015-02-21,1201.9303000619
417,2015-02-22,1202.0458820913
418,2015-02-23,1201.7264541858
419,2015-02-24,1200.2526531284
420,2015-02-25,1204.5779065202
421,2015-02-26,1208.907697348
422,2015-02-27,1213.1759352931
423,2015-02-28,1213.4891453396
424,2015-03-01,1213.4891453396
425,2015-03-02,1206.5509008746
426,2015-03-03,1204.2142464445
427,2015-03-04,1199.2586408946
428,2015-03-05,1196.7519142271
429,2015-03-06,1167.5679170884
430,2015-03-07,1167.9923379703
431,2015-03-08,1169.5290891123
432,2015-03-09,1166.852710959
433,2015-03-10,1162.1947690454
434,2015-03-11,1155.3109180817
435,2015-03-12,1154.242554855
436,2015-03-13,1158.9214198235
437,2015-03-14,1159.0171534539
438,2015-03-15,1156.3701540863
439,2015-03-16,1154.3961397294
440,2015-03-17,1149.2434295428
441,2015-03-18,1167.7051808918
442,2015-03-19,1171.0178250812
443,2015-03-20,1182.86507697
444,2015-03-21,1183.2079132945
445,2015-03-22,1186.0004506802
446,2015-03-23,1189.7891567899
447,2015-03-24,1192.3296399112
448,2015-03-25,1194.9643945475
449,2015-03-26,1204.3507986552
450,2015-03-27,1198.8790476904
451,2015-03-28,1198.9185754449
452,2015-03-29,1197.6693354732
453,2015-03-30,1186.0503141929
454,2015-03-31,1183.358622238
455,2015-04-01,1203.6568133694
456,2015-04-02,1199.8188216875
457,2015-04-03,1203.7925041424
458,2015-04-04,1200.6387398096
459,2015-04-05,1216.2416915489
460,2015-04-06,1216.6487562404
461,2015-04-07,1208.8304889122
462,2015-04-08,1202.2747069452
463,2015-04-09,1194.648738572
464,2015-04-10,1207.6786692852
465,2015-04-11,1207.6930044383
466,2015-04-12,1207.6857118703
467,2015-04-13,1198.8172676352
468,2015-04-14,1193.2145413033
469,2015-04-15,1202.6402607911
470,2015-04-16,1198.3428300536
471,2015-04-17,1204.4945370301
472,2015-04-18,1204.6668794911
473,2015-04-19,1204.9426748522
474,2015-04-20,1196.2721778595
475,2015-04-21,1202.87583428
476,2015-04-22,1187.4599653502
477,2015-04-23,1193.573034798
478,2015-04-24,1179.0784538783
479,2015-04-25,1179.1827084648
480,2015-04-26,1179.1966133473
481,2015-04-27,1201.8179501193
482,2015-04-28,1211.9376328972
483,2015-04-29,1204.7622399635
484,2015-04-30,1184.4123708378
485,2015-05-01,1178.7335818734
486,2015-05-02,1178.0089293077
487,2015-05-03,1177.9881140999
488,2015-05-04,1187.9058946831
489,2015-05-05,1193.1738859184
490,2015-05-06,1191.7298136443
491,2015-05-07,1184.5531208388
492,2015-05-08,1187.7712274948
493,2015-05-09,1187.8318505232
494,2015-05-10,1188.9970215625
495,2015-05-11,1183.6286867662
496,2015-05-12,1193.1690065318
497,2015-05-13,1215.1753557111
498,2015-05-14,1221.8862627964
499,2015-05-15,1223.8281112315
500,2015-05-16,1224.1924920274
501,2015-05-17,1225.1748937161
502,2015-05-18,1225.4167969267
503,2015-05-19,1208.4898346526
504,2015-05-20,1210.0367362054
505,2015-05-21,1206.2329553121
506,2015-05-22,1206.1320182297
507,2015-05-23,1206.2580668508
508,2015-05-24,1204.717674413
509,2015-05-25,1207.2785764957
510,2015-05-26,1187.2585846154
511,2015-05-27,1187.5562238129
512,2015-05-28,1188.4654866584
513,2015-05-29,1190.2529175653
514,2015-05-30,1190.5045358223
515,2015-05-31,1194.7288562861
516,2015-06-01,1188.9614254588
517,2015-06-02,1193.315454774
518,2015-06-03,1186.680729547
519,2015-06-04,1176.3303587355
520,2015-06-05,1173.1174563508
521,2015-06-06,1174.0534194306
522,2015-06-07,1166.8611435239
523,2015-06-08,1174.5415797929
524,2015-06-09,1176.611068687
525,2015-06-10,1187.3266936402
526,2015-06-11,1180.0956272221
527,2015-06-12,1178.9013318116
528,2015-06-13,1178.2032400589
529,2015-06-14,1180.6375442739
530,2015-06-15,1187.2999651773
531,2015-06-16,1179.9792738331
532,2015-06-17,1186.7810388232
533,2015-06-18,1202.5518468221
534,2015-06-19,1202.4047935518
535,2015-06-20,1203.7315678604
536,2015-06-21,1201.9230769231
537,2015-06-22,1186.8987497155
538,2015-06-23,1177.1909024172
539,2015-06-24,1175.2222181689
540,2015-06-25,1174.3344555288
541,2015-06-26,1175.1488229534
542,2015-06-27,1175.4334410814
543,2015-06-28,1188.0011880012
544,2015-06-29,1178.7849184562
545,2015-06-30,1175.9648121473
546,2015-07-01,1166.49906527
547,2015-07-02,1164.6790775882
548,2015-07-03,1166.1467277303
549,2015-07-04,1165.5011655012
550,2015-07-05,1175.4334410814
551,2015-07-06,1172.3528203489
552,2015-07-07,1153.0973330009
553,2015-07-08,1159.5682966173
